店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
Bar 日果,江坂駅 74m,バー、ダイニングバー、バル,,3.14,16,730,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-23-33 第7 マイダビル　３F
ニュータージマハルエベレスト 北千里店,北千里駅 137m,インドカレー,,3.13,32,274,"￥1,000～￥1,999",～￥999,大阪府吹田市古江台4-119 ディオス8番館 103
李朝園 江坂店,江坂駅 87m,韓国料理、焼肉、居酒屋,,3.09,117,1804,"￥4,000～￥4,999",～￥999,大阪府吹田市豊津町9-40 江坂東急ビル B1F
徳ちゃん？,南吹田駅 669m,お好み焼き、居酒屋、鍋,,,2,,"￥2,000～￥2,999",-,大阪府吹田市穂波町15-26
呑み食い処 鉄ちゃん,岸辺駅 245m,居酒屋、鍋、海鮮,,3,3,228,"￥2,000～￥2,999",-,大阪府吹田市岸部南1-24-8
明石八 江坂店,江坂駅 47m,居酒屋,江坂駅1分◆漁港直送の鮮魚が自慢♪種類豊富なお酒はリーズナブルな価格！こだわりの日本酒も◎,3.35,162,3568,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町1-23-37 グウビル 1F
炭火焼鳥 喜心 江坂店,江坂駅 400m,焼き鳥、居酒屋、バル,,3.14,27,951,"￥4,000～￥4,999",-,大阪府吹田市江の木町8-27
炭火焼鳥 晩酌 櫻,吹田（ＪＲ）駅 257m,居酒屋、焼き鳥,【吹田駅2分】淡路島産鶏使用！自慢の焼鳥と夜定食が楽しめる居酒屋◆仕事帰りやデートにも◎,,1,39,"￥3,000～￥3,999",-,大阪府吹田市昭和町10-22
VAMOS TACOS ESK,江坂駅 472m,タコス,【江坂駅5分】タコスを中心とした多国籍フードをアットホームな空間で♪月に一度イベント開催◎,3.15,12,782,"￥3,000～￥3,999",～￥999,大阪府吹田市江坂町2-4-25 GSハイム第2江坂 1F
旬彩 壱,相川駅 599m,居酒屋,,3.06,8,116,-,-,大阪府吹田市内本町3-1-9
鰻の寝床 うな福,吹田市,うなぎ,,3.15,23,350,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市山田東2-9-14
とろけるハンバーグ福よし 大阪江坂店,江坂駅 198m,ハンバーグ,【江坂駅3分】国産牛100%のハンバーグが絶品♪仕事帰りや家族団らんに◎飲み放題もあり！,3.31,50,1601,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府吹田市広芝町10-28 オーク江坂ビル 1F
炭焼屋 肉もん,吹田（ＪＲ）駅 657m,焼肉、ホルモン,,3.05,11,359,"￥5,000～￥5,999",-,大阪府吹田市日の出町1-4
カトマンドゥカリー PUJA 吹田店,吹田市,インド料理、インドカレー,アットホームな空間で一流シェフが手掛ける本場ネパールの味を再現した自家製手作りカレーを堪能,3.08,51,1017,"￥2,000～￥2,999",～￥999,大阪府吹田市山田南30-15
大同門 江坂店,江坂駅 95m,焼肉、居酒屋、韓国料理,【江坂駅1分】ご奉仕価格でご提供中！黒毛和牛A5雌牛カルビが680円(税込748円)♪,3.31,215,4061,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市豊津町9-22 大同門本部ビル　２・３Ｆ
焼鶏 誠,吹田（ＪＲ）駅 535m,焼き鳥、鍋、居酒屋,12月23日〜12月25日はお休み頂きます。年末年始は空いています。,3.08,17,392,"￥3,000～￥3,999",-,大阪府吹田市内本町2-1-11
カレー&ナン Tandoor,吹田市,インドカレー、カフェ、居酒屋,,3.13,28,625,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市山田東2-17-1
エペ クープ,吹田（ＪＲ）駅 147m,とんかつ、日本料理、食堂,,3.64,374,19104,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市元町5-5
広島お好み焼・鉄板焼 かん吉,南千里駅 532m,お好み焼き,,3.17,42,1068,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里山西6-60-9
炭火焼鳥 百星,豊津駅 672m,焼き鳥,,3.25,65,2851,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市垂水町1-40-5
焼肉こじま離れ 大阪江坂,江坂駅 77m,焼肉、ホルモン、ハンバーグ,肉屋が通う焼肉屋さん焼肉こじま！,3.16,45,1399,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市江坂町1-23-17
酒と肴 カキツバタ,江坂駅 291m,居酒屋、海鮮、日本酒バー,江坂駅3分◆厳選された鮮魚のお造りや逸品料理を、多彩な日本酒とカジュアルにお楽しみください,3.33,74,3309,"￥4,000～￥4,999",-,大阪府吹田市江の木町2-15
黒毛和牛 藤屋,吹田市,焼肉、ホルモン,【1970年創業】世代を超えて愛される老舗焼肉店 郊外では嬉しい全席個室、提携駐車場有り◎,3.55,143,5209,"￥6,000～￥7,999",-,大阪府吹田市原町4-6-16
SAGUN,江坂駅 783m,インド料理、ネパール料理,,3.15,13,127,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市南金田2-26-28 1F
きごころ 2号店,江坂駅 498m,焼き鳥、居酒屋、鳥料理,,3.15,16,316,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町2-6-14
炭火焼肉じゃけぇ 江坂内環通り店,豊津駅 797m,焼肉、ホルモン、居酒屋,名物「5秒ロース」をはじめ上質な黒毛和牛をリーズナブルに◆ご家族連れ歓迎◎近隣に駐車場も有,3.12,17,196,"￥4,000～￥4,999",-,大阪府吹田市金田町28-20
八剣伝 阪急千里山駅前店,千里山駅 51m,居酒屋、焼き鳥、鳥料理,【千里山駅徒歩1分】本格炭火焼鳥が自慢！グループでもお一人様でも大歓迎です♪,3.01,11,169,"￥2,000～￥2,999",-,大阪府吹田市千里山西5丁目2-5 第１加藤ビル１F
居酒屋 こーじぃ～,吹田（ＪＲ）駅 187m,居酒屋,【吹田駅1分】絶品料理をアテに楽しく飲める、リーズナブルな大衆居酒屋！サク飲み・宴会に◎,3.06,6,114,"￥2,000～￥2,999",-,大阪府吹田市朝日町2 JR吹田駅 さんくす2番街
アトランティック ららぽーとEXPOCITY店,万博記念公園駅 463m,洋食、ビュッフェ,,3.29,81,1756,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F
居酒屋 じもと,相川駅 845m,居酒屋,気軽に過ごせるアットホームな店内◆毎日市場から仕入れる新鮮な魚介など豊富なメニューをご用意,3.06,6,163,"￥3,000～￥3,999",-,大阪府吹田市末広町21-53 1F
ええとこどり,吹田（ＪＲ）駅 576m,焼き鳥,,3.04,2,20,"￥3,000～￥3,999",-,大阪府吹田市片山町1-25-9
yakki鶏,千里丘駅 520m,焼き鳥、居酒屋、パスタ,千里丘駅6分◆新鮮な朝引き淡路鶏や〆の麺など多彩なメニューを満喫！仕事帰りや家族団らんに◎,3.08,16,720,"￥4,000～￥4,999",-,大阪府吹田市長野東16-3 ナンノvol.13長野東コーポラス 101
マハル,吹田市,インド料理、ネパール料理、インドカレー,,3.14,14,152,"￥1,000～￥1,999",～￥999,大阪府吹田市山田西2-4-9
MAISON NAKAKO,千里山駅 505m,フレンチ,千里山の閑静な住宅街に佇むフレンチダイニング,3.33,41,2114,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府吹田市千里山竹園1-21-4 メリーヒル緑地公園
鶴橋風月 江坂店,江坂駅 45m,お好み焼き、焼きそば、居酒屋,【宴会利用も◎】鶴橋発祥の老舗の味！人気の「チーたまぶたモダン」やお酒に合う逸品料理の数々,3.04,50,758,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市豊津町9-16 第一ロンヂェビル 2F
洋食惣菜バル URRA-RA,吹田（ＪＲ）駅 236m,バル、カフェ、ハンバーグ,【JR吹田駅徒歩1分】 近江牛ハンバーグやパスタなどに加えスイーツも楽しめる洋食惣菜バル,3.09,13,455,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市朝日町13-2
焼鳥居酒屋 一文字 吹田店,吹田（ＪＲ）駅 200m,焼き鳥、居酒屋、串揚げ,,3.09,22,567,"￥3,000～￥3,999",-,大阪府吹田市昭和町6-14
RED&red,吹田（ＪＲ）駅 262m,海鮮,,3.09,12,486,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市元町6-12
明石八 江坂店 別館,江坂駅 40m,居酒屋,江坂駅1分◆漁港直送の鮮魚が自慢♪種類豊富なお酒はリーズナブルな価格！こだわりの日本酒も◎,3.08,16,334,"￥2,000～￥2,999",-,大阪府吹田市江坂町1-23-27 グウビル 1F
海鮮処　はまとら,江坂駅 315m,居酒屋、海鮮、天ぷら,【良質×低価格】鮮度にこだわる海鮮居酒屋◎幹事様必見！お得なコース、クーポンあり。,3.13,30,1206,"￥4,000～￥4,999",-,大阪府吹田市江の木町17-37 シティーコープ江坂 1F
ディルクス,吹田市,インド料理、ネパール料理、カレー,,3.08,20,389,"￥1,000～￥1,999",～￥999,大阪府吹田市岸部北5-39-17-102
TRICOLORE,江坂駅 504m,イタリアン,【貸切可】フラっと気軽に立ち寄れるイタリア料理店！こだわりのイタリアンとワインを堪能◎,3.21,25,803,"￥4,000～￥4,999",～￥999,大阪府吹田市豊津町18-21 月見ハウス
屋台居酒屋 大阪 満マル 吹田樫切山店,吹田市,居酒屋,,3.03,15,275,"￥2,000～￥2,999",～￥999,大阪府吹田市山田西1-1-11
錦わらい 佐井寺店,南千里駅 997m,お好み焼き、鉄板焼き、焼きそば,,3.06,51,489,"￥1,000～￥1,999",～￥999,大阪府吹田市佐井寺3-14-36
フォルテソーレ,江坂駅 720m,ダイニングバー、ステーキ、イタリアン,,3.02,3,147,"￥3,000～￥3,999",-,大阪府吹田市江の木町24-19 江坂はなヴィラ 1F
しちりん焼肉 若葉屋 江坂店,江坂駅 129m,焼肉、ホルモン、居酒屋,【江坂駅近】福島で人気のあの若葉屋が登場♪コスパ抜群の焼肉を！飲み放題付4300円～！,3.14,29,988,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-22-23 江坂中央ビル 2F
讃岐うどん四八,江坂駅 436m,うどん、うどんすき、天ぷら,,3.53,276,8704,～￥999,～￥999,大阪府吹田市垂水町3-29-2 チサンマンション第５江坂１Ｆ １F
鴨と醸し 鼓道,緑地公園駅 325m,そば、鳥料理、親子丼,お昼はお蕎麦と名物親子丼・夜は鴨鍋や鴨料理、発酵料理。,3.62,588,28593,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府吹田市千里山西4-37-3 1F
天ぷら酒場マコト屋,関大前駅 398m,居酒屋、天ぷら,,,1,33,"￥3,000～￥3,999",-,大阪府吹田市千里山東1-10-20 コスモビル
笙,吹田（ＪＲ）駅 396m,カフェ、居酒屋,,3.02,5,124,-,～￥999,大阪府吹田市片山町1-13-13
焼肉 翔,吹田（ＪＲ）駅 986m,焼肉、ホルモン、居酒屋,,3.05,3,54,"￥5,000～￥5,999",-,大阪府吹田市天道町15-6
きっしゃん,江坂駅 84m,ラーメン、居酒屋,,3.12,50,847,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町1-23-5 大同生命江坂第2ビル 1F
町中華 光貴,吹田市,中華料理、担々麺、飲茶・点心,ふらりと立ち寄れる町の中華屋さん。“また来るね”が聞きたくて、今日も心を込めて仕込みます。,3.12,21,791,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市佐井寺南が丘15-8 ヴィオラ千里 1F
しゃぶ庵 南千里店,南千里駅 204m,しゃぶしゃぶ、すき焼き、かに,【南千里駅直結】沖縄直送のパイとんや厳選黒毛和牛のしゃぶしゃぶ・すき焼きを堪能！貸切宴会可,3.05,3,97,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市津雲台1-2-D9 南千里クリスタルホテル 4F
Bonne humeur,山田駅 702m,ビストロ,,3.18,22,1111,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府吹田市津雲台7-5-11
うな豊 吹田店,吹田市,うなぎ,備長炭で香ばしく焼き上げる、仕込みからこだわった関西風うなぎと種類豊富な一品料理に舌鼓。,3.14,44,800,"￥4,000～￥4,999","￥4,000～￥4,999",大阪府吹田市山田南34-7
お好み焼工房 とん鉄 江坂店,江坂駅 289m,お好み焼き、焼きそば、居酒屋,【江坂駅3分】ここでしか味わえない多彩な鉄板焼きが名物！コスパ抜群なコースは各種宴会に最適,3.41,160,4359,"￥1,000～￥1,999",～￥999,大阪府吹田市広芝町4-32
トゥルヌッソル,江坂駅 435m,フレンチ,,3.31,65,2587,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市江坂町1-11-2
バードツリー 千里南公園,南千里駅 379m,イタリアン、ピザ、バーベキュー,さぁ、深呼吸。 都会の喧騒を忘れ、北摂の自然を体いっぱいに感じるイタリアンパークレストラン,3.49,494,22280,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市津雲台1-3-5 千里南公園
ナサラン,吹田（ＪＲ）駅 360m,バル,,3.02,3,63,"￥1,000～￥1,999",-,大阪府吹田市元町7-21 新旭通り商店街
36CHOPPERS,江坂駅 580m,カフェ、バル、弁当,,3.43,78,2619,-,"￥1,000～￥1,999",大阪府吹田市垂水町3-17 第一田中マンション 1F
すえ広,江坂駅 331m,寿司,,3.08,20,353,"￥4,000～￥4,999",-,大阪府吹田市広芝町11-5 GSハイム第1江坂 1F
寿司の刻 漁匠,吹田市,居酒屋、寿司,,3.3,42,882,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府吹田市山田南30-12
Delicious Kitchen EMONDEL,江坂駅 76m,ビュッフェ、ステーキ、イタリアン,【江坂駅9番出口 徒歩1分】メイン料理を選んでサラダ、スープ、パン食べ放題が楽しめるランチ,3.39,108,4047,-,"￥1,000～￥1,999",大阪府吹田市豊津町9-6 新大阪江坂東急ＲＥＩホテル 2F
焼肉・冷麺 豊味園,江坂駅 187m,焼肉、ホルモン、居酒屋,豊味園 江坂店へようこそ。,3.35,155,6093,"￥4,000～￥4,999",-,大阪府吹田市豊津町13-1
哲,江坂駅 259m,焼肉、ホルモン、居酒屋,【江坂駅 徒歩3分】厳選黒毛和牛専門店！お肉の旨味を存分にご堪能ください。,3.5,346,22160,"￥8,000～￥9,999",-,大阪府吹田市江の木町3-11 第3ロンジェビル　1F
カレーや デッカオJr.,江坂駅 73m,カレー,,3.41,94,2411,-,"￥1,000～￥1,999",大阪府吹田市江坂町1-23-33 第7マイダビル 2F
十割蕎麦ハレニチ 千里山店,千里山駅 117m,そば、天ぷら,千里山駅3分◆北海道産石臼挽き粉の十割蕎麦をお手頃価格で。そば粉・そば茶の限定スイーツも◎,3.05,7,118,-,"￥1,000～￥1,999",大阪府吹田市千里山東2-27-14 阪急千里山駅前ウェルビーイングテラス 1F
マーコールカフェ,山田駅 434m,カフェ,,3.15,28,1371,～￥999,"￥1,000～￥1,999",大阪府吹田市山田北11-14 ヴィヴェンテ 1F
Risaku cafe,吹田市,カフェ、ケーキ、イタリアン,手作りケーキや焼き菓子が自慢◆可愛い壁画や雑貨も楽しめる癒しカフェ。Wi-Fi完備◎,3.09,10,677,-,"￥1,000～￥1,999",大阪府吹田市山田西2-1-6 千里ツインハイツ1 102
ハレイロ,関大前駅 334m,カフェ、パンケーキ,,3.22,50,2182,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市円山町6-30 シマモトビル 1F
餃子酒飯 大阪王 吹田店,吹田（ＪＲ）駅 72m,餃子、中華料理,,3.08,55,764,"￥1,000～￥1,999",～￥999,大阪府吹田市朝日町1-111 吹田さんくす1番館 1F
居酒屋　真,吹田（ＪＲ）駅 143m,居酒屋、水炊き、もつ鍋,,3.04,9,396,"￥2,000～￥2,999",-,大阪府吹田市朝日町5-8 ヤマトビル1階
ココ,吹田市,喫茶店,,,2,,-,-,大阪府吹田市原町4-11-8
かつ工房和幸 ららぽーとEXPOCITY店,万博記念公園駅 442m,とんかつ、日本料理,,3.34,64,507,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F
nord ノルド,山田駅 361m,バー,,3.04,4,373,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市津雲台6-22-3 トレックビル 1F
カフェ アンド ベイク ベベ,吹田（ＪＲ）駅 593m,カフェ,,3.2,39,1567,-,"￥1,000～￥1,999",大阪府吹田市内本町1-21-7
