店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
大阪玉出 会津屋 ららぽーとEXPOCITY店,万博記念公園駅 461m,たこ焼き,,3.08,88,732,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
上海点心菜館 桃苑,吹田（ＪＲ）駅 470m,中華料理、ラーメン、中華菓子,,3.05,7,295,-,-,大阪府吹田市片山町2-11-70,34.76622,135.520004
スパイスキッチン 結,吹田（ＪＲ）駅 382m,カレー,,3.09,11,370,-,"￥1,000～￥1,999",大阪府吹田市元町11-5,34.76009,135.525131
パインズ ハート,豊津駅 673m,洋食,,3.17,33,1364,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市垂水町1-40-5 マンションアルブル,34.764122,135.50209
韓国家庭料理 郷村,上新庄駅 499m,韓国料理,,3.01,12,663,-,-,大阪府吹田市東御旅町2-31,34.752239,135.528366
蝸牛庵,下新庄駅 579m,サンドイッチ、カフェ,,3.43,78,5382,-,"￥1,000～￥1,999",大阪府吹田市川岸町15-16,34.75161,135.517197
吉野家 ビエラ岸辺健都店,岸辺駅 247m,牛丼,,3.03,24,86,-,～￥999,大阪府吹田市岸部新町5-45 VIERRA岸辺健都 1F,34.77626,135.537354
越後秘蔵麺 無尽蔵 カリーノ江坂家,江坂駅 85m,ラーメン、つけ麺,,3.04,62,453,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町9-40 カリーノ江坂 Ｂ１Ｆ,34.758633,135.496109
Bakery labo pignon,岸辺駅 234m,パン,,3.12,14,143,-,-,大阪府吹田市岸部新町5-45 VIERRA岸辺健都 1F,34.77626,135.537354
ロンシャン,江坂駅 369m,カフェ、ダイニングバー,,3.13,30,875,"￥2,000～￥2,999",～￥999,大阪府吹田市江の木町13-5,34.755711,135.494919
手羽助 関大前店,関大前駅 192m,焼き鳥、居酒屋,,3.04,4,56,"￥2,000～￥2,999",-,大阪府吹田市千里山東1-7-18 パレ フタバビル 1F,34.772957,135.505981
ピザハット 吹田岸部店,吹田市,ピザ,,3.01,1,1,-,-,大阪府吹田市岸部北5-20-5,34.785816,135.534851
熊本ラーメン ひごっこ 北千里店,北千里駅 144m,ラーメン,,3.07,30,284,"￥1,000～￥1,999",～￥999,大阪府吹田市古江台4-2 ディオス北千里8番館 1F,34.820385,135.509125
日本橋 天丼 金子半之助 大阪ららぽーと　EXPOCITY店,万博記念公園駅 468m,天丼,,3.24,276,5423,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
よつ葉CAFE,吹田市,カフェ、パスタ、ハンバーグ,,3.1,13,224,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市山田西1-21-3 ロイヤルハイツ千里 206,34.788361,135.530304
ALFIES BAR,江坂駅 509m,バー,,3.05,8,464,"￥2,000～￥2,999",-,大阪府吹田市江坂町2-3-4 ケンヨービル　1F,34.763229,135.49617
まさき,岸辺駅 141m,居酒屋,,3,2,21,-,-,大阪府吹田市岸部南2-1-18,34.776142,135.540695
酔笑庵ぽんぽ,吹田（ＪＲ）駅 110m,居酒屋、鳥料理、食堂,,3.06,8,99,-,-,大阪府吹田市朝日町2,34.763054,135.525436
ミルフィーユ ヴォージュ,南千里駅 219m,ケーキ、洋菓子,,3.09,10,117,-,-,大阪府吹田市津雲台1-1-30 トナリエ南千里 1F,34.79488,135.510178
連の小屋,南千里駅 757m,食堂,,,6,,-,-,大阪府吹田市高野台1-6-9 高野台近隣センター,34.79491,135.516632
リブマックス BUDGET江坂,江坂駅 239m,その他,,,4,,-,-,大阪府吹田市江の木町2-7,34.756908,135.495804
フレッシュバザール グランドセンター千里丘店,千里丘駅 761m,コンビニ・スーパー,,,1,4,-,-,大阪府吹田市長野東7-24,34.790741,135.543365
手づくりうどん 卯らら華,吹田（ＪＲ）駅 278m,うどん,,3.2,53,775,-,～￥999,大阪府吹田市元町7-2,34.760918,135.524902
ファミリーマート 桃山台駅店,桃山台駅 58m,コンビニ・スーパー,,3.04,4,23,-,-,大阪府吹田市桃山台5-1 C20-B101,34.792431,135.497375
馬力食堂,岸辺駅 207m,居酒屋,,3.03,4,159,-,-,大阪府吹田市岸部南2-3-10,34.775719,135.540146
迎賓館,阪大病院前駅 400m,結婚式場,,3.11,8,69,-,-,大阪府吹田市千里万博公園9-1,34.815308,135.52684
びっくりドンキー 江坂店,江坂駅 131m,ファミレス、ハンバーグ,,3.08,108,535,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町14-8 江坂オッツ B1F,34.758049,135.495895
夕日cafe,吹田（ＪＲ）駅 215m,カフェ,,3.09,8,165,-,～￥999,大阪府吹田市元町6-19-201 2F,34.761372,135.524216
LAWSON 吹田岸部北三丁目店,岸辺駅 786m,コンビニ・スーパー,,,1,2,-,-,大阪府吹田市岸辺北3-2-24,34.77626,135.537354
シェ・ナカツカ 江坂店,江坂駅 209m,ケーキ,,3.25,40,1005,-,-,大阪府吹田市豊津町15-4,34.757862,135.495102
吹田サービスエリア（下り線）スナックコーナー,吹田市,食堂、たこ焼き,,3.29,99,256,～￥999,"￥1,000～￥1,999",大阪府吹田市岸部北4-7-1 吹田サービスエリア(下り線),34.782223,135.526596
パン屋 トラのしっぽ,江坂駅 321m,パン、サンドイッチ、カフェ,,3.28,40,628,～￥999,～￥999,大阪府吹田市江坂町1-13-46,34.761372,135.497574
御座候 Dew 阪急山田店,山田駅 41m,たい焼き・大判焼き,,3.01,6,34,-,-,大阪府吹田市山田西4-1-2 デュー阪急山田 1F,34.804226,135.515244
小籠 ぶたまん屋 本店,豊津駅 784m,肉まん,,3,8,119,-,-,大阪府吹田市南金田1-1-37,34.757236,135.508499
純生食パン工房 ハレパン 江坂店,江坂駅 79m,パン,,3,3,44,～￥999,-,大阪府吹田市豊津町9-40 カリーノ 1F 東急ハンズ北側出入り口前,34.758633,135.496109
吹田サービスエリア上り線ショッピングコーナー,吹田市,その他,,3.05,14,47,-,-,大阪府吹田市岸部北4-8-1 吹田サービスエリア上り線,34.782787,135.526138
CAFE DINING VALORE.,吹田（阪急）駅 195m,カフェ,,3.22,38,385,"￥1,000～￥1,999",～￥999,大阪府吹田市泉町2-29-1 吹田市文化会館 2F,34.759884,135.515366
KOHYO 山田店,山田駅 105m,コンビニ・スーパー,,,1,2,-,-,大阪府吹田市山田西4-1-2-101 デュー阪急山田 1F,34.804226,135.515244
STARBUCKS ららぽーとEXPOCITY 1階店,万博記念公園駅 510m,カフェ,,3.07,48,152,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
銀のさら 亥子谷店,吹田市,寿司,,3.01,1,1,-,-,大阪府吹田市山田西1-36-3 旭永 1F,34.790051,135.526688
ラーメン つけ麺 熱く勢ろ,関大前駅 301m,ラーメン、つけ麺,,3.18,55,2022,～￥999,～￥999,大阪府吹田市千里山西1-15-29,34.77367,135.505585
FREQUENTE,江坂駅 358m,ワインバー,,,1,1,-,-,大阪府吹田市豊津町16-21 1F,34.758179,135.49324
韓食 トントン,吹田（ＪＲ）駅 312m,韓国料理,,,2,186,"￥3,000～￥3,999",-,大阪府吹田市朝日町16-7,34.761452,135.526352
インフォメーションセンター エキスポ グッズ ストア,万博記念公園駅 240m,その他,,3.01,1,8,-,-,大阪府吹田市千里万博公園1-1,34.809277,135.524734
AT THE 21,公園東口駅 834m,お好み焼き,,3.05,6,262,-,-,大阪府吹田市千里万博公園3-3 パナソニックスタジアム吹田,34.801788,135.538284
新大阪江坂 東急REIホテル,江坂駅 58m,ホテル,,3.19,36,143,-,-,大阪府吹田市豊津町9-6,34.759285,135.496826
Crêperie Onze.,山田駅 671m,カフェ,,3.09,15,562,-,"￥1,000～￥1,999",大阪府吹田市津雲台7-5-17 1F,34.805748,135.507812
パセリ,吹田市,弁当,,3.02,4,92,-,-,大阪府吹田市山田東1-35-12,34.797073,135.535492
サル・ド・レーブ,豊津駅 235m,喫茶店,,,4,,-,-,大阪府吹田市垂水町1-9-22,34.765308,135.507416
鮨こにし,吹田（ＪＲ）駅 524m,寿司,,3.11,23,928,-,"￥1,000～￥1,999",大阪府吹田市内本町2丁目1-10,34.758793,135.525696
たこべえ,豊津駅 48m,お好み焼き,,3.02,1,5,-,-,大阪府吹田市垂水町2-1-24,34.763794,135.509094
ミアヴィア,江坂駅 721m,結婚式場、イタリアン,,3.17,18,79,-,-,大阪府吹田市芳野町13-8 アメニティ 江坂内,34.755905,135.490189
PRIMAVERA,吹田（阪急）駅 593m,イタリアン,,3.14,20,671,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市内本町1-21-12,34.757725,135.523178
サイノカレー,相川駅 847m,カレー,,3.04,8,221,-,-,大阪府吹田市末広町21-53 吉富ビル 1F,34.765297,135.533524
スターバックスコーヒー 阪急南千里店,南千里駅 140m,カフェ,,3.06,37,101,-,～￥999,大阪府吹田市津雲台1-1-2 アーバス南千里 1F,34.79488,135.510178
福warai日曜モーニング,吹田（ＪＲ）駅 182m,カフェ、パン,,,21,,-,～￥999,大阪府吹田市朝日町5-26,34.76181,135.524765
かじ山,吹田（ＪＲ）駅 244m,焼き鳥、串焼き、居酒屋,,3.03,6,265,"￥2,000～￥2,999",-,大阪府吹田市朝日町13-28,34.761986,135.525909
COやんて,岸辺駅 985m,創作料理、居酒屋、海鮮,,3.01,4,95,-,-,大阪府吹田市岸部北5-12-13 プレゼンスハイツ　１F,34.785183,135.537048
ひだまり,吹田市,喫茶店、食堂、カレー,,3.08,11,105,-,～￥999,大阪府吹田市山田丘2-5 大阪大学吹田キャンパス内,34.81937,135.527527
パンスタジオ 江坂店,江坂駅 220m,パン,,3.04,4,60,-,-,大阪府吹田市豊津町11-5,34.759457,135.495178
鳥貴族 江坂東店,江坂駅 158m,焼き鳥、鳥料理、居酒屋,,3.04,28,388,"￥2,000～￥2,999",-,大阪府吹田市広芝町10-1-201 サニーストンホテル北館 2F,34.757397,135.497955
ガスト 関大前店,関大前駅 194m,ファミレス,,3.01,13,106,-,～￥999,大阪府吹田市千里山東1-7-18,34.772957,135.505981
セブンイレブン 吹田山田北店,山田駅 406m,コンビニ・スーパー,,3.02,3,11,-,-,大阪府吹田市山田北10-1,34.807251,135.519196
中津からあげ 総本家もり山 吹田店,吹田市,鳥料理、弁当,,3.01,7,344,～￥999,～￥999,大阪府吹田市原町4-6-17,34.774113,135.53035
スターバックス コーヒー 関西大学 千里山店,関大前駅 568m,カフェ,,3.01,19,128,-,～￥999,大阪府吹田市千里山東3-10-1,34.77549,135.510696
竹見台の食卓 光之助,桃山台駅 392m,洋食,,3.02,3,35,-,-,大阪府吹田市竹見台3-6-11,34.794193,135.50119
セブンイレブン 7FS大阪大学福利会館店,阪大病院前駅 695m,コンビニ・スーパー,,3,2,2,-,-,大阪府吹田市山田丘1-5,34.819496,135.521164
たこ春,南吹田駅 760m,たこ焼き、焼きそば,,3.05,11,220,～￥999,～￥999,大阪府吹田市南吹田5-17-1,34.751343,135.50322
紙ふうせん,江坂駅 316m,居酒屋,,3.05,7,147,-,-,大阪府吹田市江の木町5-24,34.756577,135.494705
セブンイレブン モノウェル万博記念公園店,万博記念公園駅 43m,コンビニ・スーパー,,3.01,3,5,-,-,大阪府吹田市千里万博公園1-1 千里万博公園内,34.809277,135.524734
木曽路 江坂店,江坂駅 285m,しゃぶしゃぶ、すき焼き、日本料理,,3.16,103,1169,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市江坂町1-21-11,34.757591,135.499985
うえむら惣菜店,豊津駅 197m,弁当,,3.01,1,11,-,-,大阪府吹田市垂水町2-4-37 シンコー店内,34.763992,135.507309
